,LotArea,GarageFinish,YearRemodAdd,KitchenAbvGr,LowQualFinSF,ExterCond,BsmtHalfBath,Fireplaces,CentralAir,BsmtUnfSF,GarageCars,Neighborhood_NWAmes,1stFlrSF,BsmtFinType1,GarageYrBlt
63,10300,1,1950,1,0,2,0,0,1,576,2,0,902,1,1990.0
64,9375,2,1998,1,0,2,0,0,1,318,2,0,1057,6,1998.0
65,9591,2,2005,1,0,2,0,1,1,1143,3,0,1143,1,2004.0
66,19900,2,1989,1,0,2,0,1,1,1035,2,0,2207,6,1970.0
67,10665,2,2003,1,0,2,0,0,1,440,2,0,1479,6,2003.0
68,4608,1,1950,1,0,3,0,0,1,747,1,0,747,1,1945.0
69,15593,3,1953,1,0,2,0,1,1,701,2,0,1304,4,1953.0
70,13651,3,1973,1,0,3,0,2,1,343,2,0,2223,5,1973.0
71,7599,1,2006,1,0,2,0,0,1,280,2,0,845,5,1987.0
72,10141,3,1998,1,0,2,0,1,1,832,2,0,885,1,1998.0
73,10200,1,2003,1,0,2,0,0,1,404,2,0,1086,5,1989.0
74,5790,1,1950,2,0,3,0,0,0,840,1,0,840,1,1915.0
75,1596,1,1973,1,0,2,0,0,1,0,1,0,526,6,1973.0
76,8475,1,1956,1,0,2,0,0,1,724,1,0,952,5,1956.0
77,8635,1,2001,1,0,2,0,0,1,295,1,0,1072,4,1948.0
78,10778,0,1968,2,0,2,0,0,0,1768,0,0,1768,1,0.0
79,10440,1,1981,1,0,2,0,0,1,440,2,0,682,1,1966.0
80,13000,3,1968,1,0,3,0,1,1,448,1,0,1182,3,1968.0
81,4500,3,1998,1,0,3,0,0,1,36,2,0,1337,6,1998.0
82,10206,2,2007,1,0,2,0,1,1,1530,3,0,1563,6,2007.0
83,8892,1,1960,1,0,2,0,0,1,1065,2,0,1065,1,1974.0
84,8530,3,1996,1,0,2,0,1,1,384,2,0,804,1,1995.0
85,16059,1,1992,1,0,2,0,1,1,1288,2,0,1301,1,1991.0
86,11911,3,2005,1,0,2,0,1,1,684,2,0,684,1,2005.0
87,3951,2,2009,1,0,2,0,0,1,612,2,0,612,1,2009.0
88,8470,0,1982,1,513,1,0,0,0,1013,0,0,1013,1,0.0
89,8070,0,1995,1,0,2,0,0,1,402,0,0,990,6,0.0
90,7200,1,1950,1,0,2,0,0,1,0,2,0,1040,0,1950.0
91,8500,1,1961,1,0,2,0,0,1,635,2,0,1235,3,1961.0
92,13360,1,2006,1,0,3,0,0,1,163,2,0,964,5,1921.0
93,7200,1,1998,2,0,2,1,1,0,168,2,0,1260,3,1900.0
94,9337,2,1997,1,0,3,0,0,1,176,2,0,905,6,1997.0
95,9765,3,1993,1,0,3,0,1,1,370,2,0,680,5,1993.0
96,10264,2,1999,1,0,2,0,0,1,426,2,0,1588,5,1999.0
97,10921,3,1965,1,0,2,0,0,1,440,1,0,960,3,1965.0
98,10625,1,1950,1,0,2,0,0,0,350,1,0,835,5,1920.0
99,9320,0,1959,1,0,2,0,0,1,381,0,0,1225,5,0.0
100,10603,2,2001,1,0,2,0,2,1,410,2,1,1610,5,1977.0
101,9206,3,1985,1,0,2,0,1,1,741,2,0,977,1,1985.0
102,7018,1,1979,2,0,1,0,0,1,0,2,0,1535,0,1979.0
103,10402,2,2009,1,0,2,0,0,1,1226,3,0,1226,1,2009.0
104,7758,1,1950,1,0,1,0,2,1,816,1,0,1226,2,1951.0
105,9375,2,2004,1,0,2,0,1,1,1053,2,0,1053,1,2003.0
106,10800,1,1995,1,0,2,0,0,1,641,1,0,1047,1,1954.0
107,6000,1,1950,1,0,2,0,0,1,516,1,0,789,5,1948.0
108,8500,0,2005,1,0,2,0,0,0,793,0,0,997,1,0.0
109,11751,2,1977,1,0,2,0,1,1,1139,2,1,1844,4,1977.0
110,9525,1,1972,1,0,2,0,0,1,550,1,0,1216,3,1954.0
111,7750,3,2000,1,0,2,0,1,1,134,2,0,774,6,2000.0
112,9965,3,2007,1,0,2,0,1,1,280,3,0,1282,6,2007.0
113,21000,1,1953,1,0,3,0,2,1,905,2,0,2259,5,1953.0
114,7259,1,2002,1,0,2,0,1,1,104,1,0,1436,5,1945.0
115,3230,1,1999,1,0,2,0,1,1,310,2,0,729,6,1999.0
116,11616,1,1962,1,0,2,1,1,1,252,1,0,1092,2,1962.0
117,8536,1,2007,1,0,2,0,0,1,1125,2,0,1125,1,2007.0
118,12376,1,1990,1,0,2,0,2,1,203,3,0,1699,6,1990.0
119,8461,3,2006,1,0,2,0,1,1,728,2,0,728,1,2005.0
120,21453,1,1969,1,0,2,0,2,1,0,2,0,988,5,1969.0
121,6060,1,1950,1,0,2,0,0,1,732,1,0,772,1,1979.0
122,9464,1,1958,1,0,3,0,0,1,510,1,0,1080,4,1958.0
123,7892,2,1993,1,0,2,0,0,1,899,2,0,1199,6,1993.0
124,17043,1,1998,1,0,3,0,1,1,1362,2,1,1586,1,1979.0
125,6780,0,1982,1,234,1,0,0,0,30,0,0,520,6,0.0
126,4928,2,1976,1,0,2,0,1,1,958,2,0,958,5,1977.0
127,4388,0,1950,1,0,3,0,1,1,556,0,0,840,2,0.0
128,7590,2,1966,1,0,2,0,1,1,148,2,0,660,4,1966.0
129,8973,2,1991,1,0,2,1,0,1,413,2,0,1053,3,1998.0
130,14200,3,1966,1,0,2,0,2,1,479,2,0,1216,3,1966.0
131,12224,2,2000,1,0,2,0,1,1,297,2,0,1022,6,2000.0
132,7388,1,2002,1,0,2,0,0,1,658,2,0,1327,3,1974.0
133,6853,3,2002,1,0,2,0,0,1,262,2,0,1296,6,2001.0
134,10335,2,1993,1,0,2,0,1,1,891,2,0,1721,3,1968.0
135,10400,1,1970,1,0,2,0,1,1,1304,2,1,1682,1,1970.0
136,10355,2,1967,1,0,2,0,1,1,519,1,0,1214,4,1967.0
137,11070,1,1989,2,0,2,0,0,1,1907,3,0,1959,1,1989.0
138,9066,3,2000,1,0,2,0,2,1,336,3,0,1004,6,1999.0
139,15426,2,1997,1,0,2,0,0,1,107,2,0,928,6,1997.0
140,10500,0,1971,1,0,2,0,1,1,432,0,0,864,5,0.0
141,11645,3,2005,1,0,2,0,0,1,434,2,0,1734,6,2005.0
142,8520,1,1952,1,0,1,0,0,1,403,2,0,910,3,2000.0
143,10335,2,1999,1,0,2,0,0,1,811,2,0,1501,6,1999.0
144,9100,1,1963,2,0,2,0,0,1,396,2,0,1728,3,1963.0
145,2522,1,2006,1,0,2,0,0,1,970,2,0,970,1,2004.0
146,6120,1,1993,1,0,2,0,0,1,506,1,0,875,4,1931.0
147,9505,3,2001,1,0,2,0,1,1,884,2,0,884,1,2001.0
148,7500,0,2005,1,0,2,0,0,1,400,0,0,1080,6,0.0
149,6240,1,1950,1,0,2,0,0,1,896,1,0,896,1,1936.0
150,10356,1,1975,1,0,2,0,0,1,253,2,0,969,4,1975.0
151,13891,2,2008,1,0,2,0,1,1,310,3,0,1710,6,2007.0
152,14803,2,1971,1,0,2,0,1,1,409,2,1,1097,3,1971.0
153,13500,2,1975,1,0,2,0,1,1,93,2,0,1252,4,1960.0
154,11340,1,1950,1,0,2,0,0,1,1200,1,0,1200,1,1923.0
155,9600,0,1950,1,0,2,0,0,0,572,0,0,572,1,0.0
156,7200,1,1950,1,0,2,0,0,1,0,2,0,1040,0,1950.0
157,12003,3,2010,1,0,2,0,1,1,774,3,0,774,1,2009.0
158,12552,2,2005,1,0,2,0,1,1,769,2,0,991,6,2004.0
159,19378,2,2006,1,0,2,0,1,1,1335,2,0,1392,6,2006.0
160,11120,1,1984,1,0,2,0,0,1,572,2,0,1232,4,1984.0
161,13688,3,2004,1,0,2,0,2,1,556,3,0,1572,6,2003.0
162,12182,2,2005,1,0,2,0,1,1,340,2,0,1541,4,2005.0
163,5500,0,1956,1,0,2,0,0,1,882,0,0,882,1,0.0
164,5400,1,2004,1,0,3,0,0,1,779,1,0,1149,2,1926.0
165,10106,0,1999,2,0,3,0,0,1,112,0,0,808,5,0.0
166,10708,3,1993,1,0,2,0,3,1,470,1,0,1867,2,1955.0
167,10562,3,2007,1,0,2,0,1,1,294,3,0,1610,6,2007.0
168,8244,3,2004,1,0,2,0,1,1,840,2,0,840,1,2004.0
169,16669,2,1981,1,0,2,0,1,1,1686,2,0,1707,1,1981.0
170,12358,1,1950,1,528,2,0,0,1,360,2,0,854,3,1991.0
171,31770,3,1960,1,0,2,0,2,1,441,2,0,1656,4,1960.0
172,5306,2,1987,1,0,3,0,1,1,354,2,0,1064,6,1987.0
173,10197,1,1961,1,0,2,0,1,1,700,2,0,1362,5,1961.0
174,12416,3,1986,1,0,2,0,1,1,0,2,0,1651,5,1986.0
175,12615,1,2001,1,0,2,0,1,1,725,2,0,2158,5,1950.0
176,10029,1,1989,1,0,2,1,1,1,320,2,0,1164,6,1988.0
177,13650,1,1958,1,0,3,0,1,1,554,2,0,1252,5,1958.0
178,17423,3,2009,1,0,2,0,1,1,312,3,0,2234,6,2009.0
179,8520,1,2006,1,0,2,0,0,1,968,2,0,968,1,1935.0
180,2117,1,2000,1,0,2,0,1,1,320,2,0,769,6,2000.0
181,7588,1,1950,1,0,2,0,1,1,441,1,0,901,2,1920.0
182,9060,2,2006,1,0,2,0,1,1,0,1,0,1340,0,1957.0
183,11426,1,2003,1,0,2,0,0,1,1362,2,0,1362,1,2003.0
184,7438,1,1991,1,0,2,0,0,1,504,2,0,936,1,1986.0
185,22950,1,1993,1,572,3,0,2,1,1107,3,0,1518,1,1993.0
186,9947,1,1991,1,0,2,0,0,1,577,2,0,1217,6,1990.0
187,10410,1,1987,1,144,2,0,0,1,660,1,0,808,1,1916.0
188,7018,1,1979,2,0,2,0,2,1,0,2,0,1224,6,1979.0
189,4923,3,2002,1,0,2,0,1,1,440,2,0,1593,6,2001.0
190,10570,1,1994,1,0,2,0,2,1,556,2,0,1549,3,1932.0
191,7472,3,2004,1,0,2,0,0,1,99,2,0,725,5,1972.0
192,9017,3,1999,1,0,2,0,0,1,871,2,0,1431,6,1999.0
193,2522,1,2004,1,0,2,0,0,1,970,2,0,970,1,2004.0
194,7180,1,1972,1,0,2,0,0,1,474,1,0,864,5,1989.0
195,2280,1,1976,1,0,2,0,1,1,289,2,0,855,5,1976.0
196,9416,3,2007,1,0,2,0,1,1,600,3,0,1726,6,2007.0
197,25419,1,1990,1,392,3,1,1,1,140,2,0,1360,6,1918.0
198,5520,0,1950,1,371,2,0,0,1,755,0,0,929,1,0.0
199,9591,3,2005,1,0,2,0,1,1,625,3,0,1713,6,2004.0
200,8546,2,2004,1,0,2,0,0,1,1121,2,0,1121,1,2003.0
201,10125,1,1977,1,0,2,1,2,1,276,2,0,1279,5,1980.0
202,7000,1,1950,1,0,3,0,0,1,0,1,0,865,2,1924.0
203,4438,2,2004,1,0,2,0,1,1,186,2,0,848,6,2004.0
204,3500,1,1950,1,0,2,0,0,1,408,1,0,720,2,1948.0
205,11851,2,1990,1,0,2,0,0,1,1424,2,0,1442,1,1990.0
206,13673,2,1962,1,0,3,0,1,1,1140,1,0,1696,1,1962.0
207,12493,2,1960,1,0,2,0,1,1,375,1,0,1100,5,1960.0
208,14364,3,1989,1,0,2,0,1,1,92,2,0,1180,6,1988.0
209,8250,2,1964,1,0,2,0,0,1,305,2,0,1092,3,1964.0
210,5604,0,1950,1,0,2,0,0,0,396,0,0,864,3,0.0
211,10420,2,2009,1,0,2,0,0,1,1176,2,0,1212,6,2009.0
212,8640,2,2009,1,0,2,0,1,1,78,2,0,932,6,2009.0
213,13568,1,1995,1,0,2,1,0,1,274,2,0,990,5,1996.0
214,10900,3,1977,1,0,2,0,0,1,311,1,0,689,6,1977.0
215,10011,1,1996,1,0,2,1,1,1,710,1,0,1236,4,1957.0
216,8450,1,2004,1,0,2,0,0,1,490,2,0,1436,6,2004.0
217,9906,1,1950,1,0,2,0,0,0,686,1,0,810,1,1940.0
218,15660,1,2006,1,0,3,1,2,1,457,2,0,1137,4,1939.0
219,3010,3,2006,1,0,2,0,0,1,1232,2,0,1248,6,2005.0
220,8990,2,2006,1,0,2,0,0,1,1498,2,0,1498,1,2006.0
221,8068,2,2002,1,0,2,0,1,1,1010,2,0,1010,1,2002.0
222,11475,2,1975,1,0,2,0,1,1,163,2,1,811,5,1975.0
223,10500,1,1971,1,0,2,0,0,1,160,2,0,864,5,1989.0
224,13472,3,2003,1,0,2,0,1,1,2336,3,0,2392,6,2003.0
225,1680,1,1971,1,0,2,0,0,1,630,1,0,630,1,1991.0
226,9950,2,1995,1,0,2,0,1,1,638,3,0,1214,6,1995.0
227,1869,1,1970,1,0,2,0,0,1,162,1,0,483,3,1987.0
228,8521,1,1967,1,0,2,0,1,1,70,1,0,912,5,1974.0
229,3182,3,2006,1,0,2,0,1,1,1357,2,0,1555,6,2005.0
230,8760,2,1959,1,0,2,0,0,1,1194,1,0,1194,1,1959.0
231,15138,3,1996,1,0,2,0,1,1,773,3,0,1490,6,1995.0
232,1680,1,1972,1,0,2,0,1,1,483,1,0,483,1,1972.0
233,10650,1,1976,1,0,2,0,0,1,0,1,0,894,2,1976.0
234,7851,3,2002,1,0,2,0,2,1,235,2,0,860,6,2002.0
235,1680,1,1971,1,0,2,0,0,1,125,1,0,483,5,1971.0
236,8773,2,2004,1,0,2,0,0,1,1390,2,0,1414,6,2004.0
237,9453,2,2003,1,0,2,0,0,1,594,2,0,1014,4,1993.0
238,12030,3,2007,1,0,2,0,0,1,1694,3,0,1694,1,2007.0
239,8741,1,1950,1,0,2,0,1,1,641,1,0,798,2,1949.0
240,9000,2,2008,1,0,2,0,0,1,488,2,0,1566,6,2008.0
241,3880,0,1997,1,0,3,0,0,1,357,0,0,866,5,0.0
242,5000,1,1950,1,0,2,0,0,0,540,1,0,889,1,1940.0
243,10762,2,1980,1,0,2,0,1,1,626,1,0,626,1,1980.0
244,8880,2,2002,1,0,2,0,2,1,253,2,0,1222,6,1994.0
245,10400,3,1988,1,0,2,1,1,1,916,2,1,1872,6,1988.0
246,9142,1,1950,2,0,1,0,0,0,1020,1,0,908,1,1910.0
247,11310,1,1954,1,0,2,0,1,1,1367,2,0,1375,1,1954.0
248,11317,2,2003,1,0,2,0,0,1,840,2,0,840,1,2003.0
249,159000,3,2006,1,0,2,1,2,1,747,2,0,1444,3,1958.0
250,5350,0,1966,1,0,0,0,0,1,728,0,0,1306,1,0.0
251,4750,3,2007,1,0,2,1,1,1,0,2,0,1625,6,2006.0
252,8366,2,2004,1,0,2,0,0,1,798,2,0,798,1,2004.0
253,9350,2,1991,1,0,2,1,0,1,452,1,0,1302,2,1964.0
254,8400,2,1957,1,0,3,0,0,1,392,1,0,1314,3,1957.0
255,8738,3,1999,1,0,2,0,1,1,975,2,0,1005,1,1999.0
256,8791,2,2003,1,0,2,0,0,1,361,2,0,864,3,2003.0
257,8814,2,2006,1,0,2,0,1,1,270,2,0,1604,6,2006.0
258,12435,2,2001,1,0,2,0,1,1,602,2,0,963,6,2001.0
259,12702,1,1956,1,0,2,0,0,1,0,1,0,882,0,1956.0
260,19296,1,1962,1,0,2,0,1,1,0,2,0,1382,3,1991.0
261,9588,3,2007,1,0,2,0,1,1,1482,3,0,1482,1,2007.0
262,8471,1,1995,1,0,2,0,1,1,0,2,0,1212,5,1978.0
263,5500,1,2001,1,390,2,0,0,1,0,2,0,926,2,1974.0
264,5232,1,2004,1,0,2,0,0,0,680,2,0,764,1,1965.0
265,12090,3,1981,1,0,3,0,1,1,606,2,1,1422,6,1981.0
266,11207,3,1997,1,0,2,0,1,1,88,2,0,802,6,1997.0
267,8400,1,1997,1,420,2,0,1,1,342,1,0,1052,2,1939.0
268,6900,3,1955,1,0,2,0,1,1,212,1,0,778,5,1966.0
269,7917,2,1976,1,0,3,0,1,1,392,1,0,1113,4,1987.0
270,10728,2,2006,1,0,2,0,1,1,1095,3,0,1095,1,2006.0
271,39104,1,2005,1,0,2,0,2,1,96,2,0,1363,2,1954.0
272,11764,3,2007,1,0,2,0,1,1,628,3,0,1164,6,1999.0
273,9600,2,1988,1,0,2,0,1,1,0,1,0,1632,3,1958.0
274,8314,1,1982,1,0,2,0,0,1,270,1,0,816,5,1982.0
275,7264,1,2007,1,0,3,0,0,0,952,2,0,952,1,1978.0
276,9196,3,2003,1,0,2,0,0,1,1560,2,0,1560,1,2003.0
277,19138,1,1951,1,0,2,0,0,1,744,2,0,864,2,1951.0
278,14450,3,2007,1,0,2,0,1,1,2121,3,0,2121,1,2007.0
279,10005,3,1977,1,0,2,0,1,1,768,2,0,1156,4,1977.0
280,11287,3,1989,1,0,2,0,1,1,386,2,0,1175,6,1989.0
281,7200,3,2006,1,0,2,0,0,1,357,2,0,1262,6,2006.0
282,5063,2,2008,1,0,2,0,1,1,410,2,0,1314,6,2008.0
283,9612,3,2009,1,0,2,0,1,1,1468,3,0,1468,1,2008.0
284,8012,2,1992,1,0,2,0,0,1,1145,2,0,1575,6,1992.0
285,4251,2,2007,1,0,2,0,0,1,625,2,0,625,1,2006.0
286,9786,2,1981,1,0,2,0,1,1,312,2,0,1085,3,1962.0
287,8125,0,1971,1,0,2,0,0,1,244,0,0,858,4,0.0
288,9819,1,1967,1,0,3,0,0,1,432,1,0,900,4,1970.0
289,8730,1,2003,1,0,2,0,0,1,698,1,0,698,1,2003.0
290,15611,2,2006,1,0,2,0,1,1,1079,2,0,1079,1,2006.0
291,5687,0,2000,1,0,1,0,0,0,570,0,0,936,3,0.0
292,11409,1,2008,1,0,2,0,1,1,476,1,0,1148,2,1949.0
293,16659,3,1994,1,0,2,0,1,1,0,2,1,1468,5,1977.0
294,9600,3,1953,1,0,2,0,2,1,131,2,0,1644,6,1953.0
295,7937,1,1984,1,0,2,0,0,1,184,2,0,1003,6,1984.0
296,13710,1,1950,1,0,2,0,0,1,490,1,0,910,4,1950.0
297,7399,2,1998,1,0,2,0,1,1,326,2,0,975,4,1997.0
298,11700,1,1968,1,0,2,1,1,1,143,2,1,1041,5,1968.0
299,14000,1,2004,1,0,3,1,1,1,1092,1,0,1152,1,1950.0
300,15750,1,1953,1,0,2,0,2,1,324,1,0,1336,4,1953.0
301,16226,3,1999,1,0,2,0,1,1,747,2,0,1210,6,1998.0
302,13704,2,2002,1,0,2,0,1,1,1541,3,0,1541,1,2001.0
303,9800,1,1972,1,0,2,0,0,1,0,2,0,894,5,1975.0
304,18386,1,2002,1,0,2,0,1,1,1470,3,0,1675,1,2003.0
305,10386,3,2005,1,0,2,0,0,1,536,3,0,2000,6,2004.0
306,13474,2,1991,1,0,2,0,1,1,0,3,0,1122,5,1990.0
307,7920,0,1950,1,0,1,0,0,1,319,0,0,1035,1,0.0
308,12342,1,1950,1,0,2,0,0,1,599,2,0,861,4,1961.0
309,12378,3,2004,1,0,2,0,3,1,622,3,0,1944,6,2003.0
310,7685,3,1994,1,0,2,0,1,1,179,2,0,697,5,1993.0
311,8000,1,2002,1,0,3,0,1,1,292,1,0,972,5,1948.0
312,7800,1,1950,1,0,2,0,1,1,286,2,0,793,3,1939.0
313,215245,2,1965,1,0,2,0,2,1,80,2,0,2036,5,1965.0
314,9600,1,1990,1,0,2,1,1,1,712,2,0,832,2,1925.0
315,7795,3,2005,1,0,2,0,1,1,291,2,0,716,6,2004.0
316,13005,2,1980,1,0,2,0,1,1,153,2,1,1153,6,1983.0
317,9000,2,2006,1,0,2,0,1,1,1088,3,0,1088,1,2006.0
318,9900,2,1993,1,0,2,0,1,1,360,3,0,1372,6,1993.0
319,14115,1,1980,1,0,2,0,2,1,336,2,1,1472,6,1980.0
320,16259,2,2006,1,0,2,0,0,1,1249,3,0,1249,1,2006.0
321,12099,3,2004,1,0,2,0,1,1,166,3,0,1136,6,2004.0
322,10380,3,1987,1,0,2,0,1,1,0,2,0,1553,2,1987.0
323,5820,1,2005,1,0,3,0,0,1,906,1,0,1163,5,1955.0
324,11275,3,2007,1,0,3,0,1,1,710,2,0,1898,1,1961.0
325,5000,1,1950,1,0,2,0,0,0,604,2,0,803,4,1941.0
326,10846,3,1993,1,0,2,0,2,1,100,2,0,1719,6,1993.0
327,11600,2,1960,1,0,2,0,0,1,818,1,0,1383,3,1960.0
328,11888,1,1994,1,0,2,0,0,0,844,2,0,1445,1,1930.0
329,6402,1,1950,1,0,2,0,0,0,596,1,0,596,1,1920.0
330,10624,1,1964,2,0,2,1,0,1,1424,1,0,1728,6,2002.0
331,8176,2,1992,1,0,2,0,0,1,210,1,0,1056,3,1958.0
332,10655,2,2004,1,0,2,0,1,1,1603,3,0,1629,6,2003.0
333,8198,2,2004,1,0,2,0,1,1,638,2,0,1358,6,2004.0
334,9042,3,1998,1,0,2,0,2,1,115,2,0,943,6,1998.0
335,164660,3,1965,1,0,2,0,2,1,103,2,0,1619,5,1965.0
336,14157,3,2006,1,0,2,0,1,1,673,3,0,1922,6,2005.0
337,9135,2,2003,1,0,2,0,0,1,726,2,0,1536,6,2002.0
338,14145,2,1998,1,0,2,0,0,1,995,2,1,1621,5,1984.0
339,12400,1,1998,1,0,2,0,0,1,630,1,0,1215,3,1958.0
340,14191,3,2002,1,0,2,0,0,1,967,2,0,993,1,2002.0
341,8400,1,1950,1,0,1,0,0,1,721,1,0,841,1,1950.0
342,8544,1,1950,2,0,2,0,0,0,0,2,0,1040,0,1949.0
343,8849,2,2005,1,0,2,0,1,1,1656,2,0,1684,6,2005.0
344,2592,1,1976,1,0,2,0,0,1,175,1,0,536,3,1976.0
345,6435,1,1950,1,0,2,0,1,1,972,1,0,972,1,1939.0
346,12772,2,1998,1,0,3,0,0,1,460,1,0,958,4,1960.0
347,17600,1,1960,1,0,2,0,2,1,208,2,0,1478,4,1960.0
348,2448,2,2004,1,0,2,0,0,1,191,2,0,764,6,2003.0
349,20431,3,2006,1,0,2,0,2,1,438,3,0,1848,6,2006.0
350,7820,2,2007,1,0,2,0,1,1,1869,2,0,1869,1,2007.0
351,5271,2,1986,1,0,2,0,1,1,371,2,0,1453,6,1986.0
352,9084,1,1950,1,0,2,1,0,0,0,1,0,616,2,1941.0
353,8520,1,2003,1,0,3,0,0,1,624,2,0,720,1,2005.0
354,8400,1,2000,1,0,2,0,2,1,552,1,0,1192,2,1940.0
355,11249,2,1995,1,0,3,0,0,1,322,2,0,1200,5,1995.0
356,9248,2,1992,1,0,2,0,0,1,598,2,0,1167,6,1992.0
357,4224,3,1976,1,0,2,0,1,1,268,2,0,1142,5,1976.0
358,6930,1,1958,1,0,2,1,0,1,468,1,0,1352,4,1958.0
359,12011,2,1998,1,0,2,0,1,1,130,2,0,1086,6,1998.0
360,7540,2,1978,1,0,2,0,1,1,115,2,0,912,6,1978.0
361,9144,1,1982,1,0,2,0,0,1,484,1,0,988,3,1940.0
362,7301,2,2003,1,0,2,0,1,1,0,2,0,495,0,2003.0
363,1680,1,2007,1,0,2,0,0,1,321,1,0,483,5,1972.0
