Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,OpenPorchSF,MoSold,MSZoning_RL,Neighborhood_Crawfor,MasVnrArea_209.0,MasVnrArea_428.0,SalePrice
36,108.0,13418.0,8.0,5.0,2004.0,2005.0,3.0,5.0,3.0,3.0,1.0,0.0,1117.0,1.0,1132.0,1320.0,2452.0,3.0,1.0,4.0,6.0,2004.0,3.0,3.0,691.0,32.0,9.0,1.0,0.0,0.0,0.0,309000
37,112.0,10859.0,5.0,5.0,1994.0,1995.0,2.0,4.0,3.0,1.0,1.0,0.0,1097.0,1.0,1097.0,0.0,1097.0,2.0,0.0,0.0,5.0,1995.0,1.0,2.0,672.0,64.0,6.0,1.0,0.0,0.0,0.0,145000
38,74.0,8532.0,5.0,6.0,1954.0,1990.0,2.0,3.0,3.0,1.0,3.0,1213.0,1297.0,1.0,1297.0,0.0,1297.0,2.0,1.0,3.0,5.0,1954.0,3.0,2.0,498.0,0.0,10.0,1.0,0.0,0.0,0.0,153000
39,68.0,7922.0,5.0,7.0,1953.0,2007.0,2.0,3.0,3.0,1.0,6.0,731.0,1057.0,1.0,1057.0,0.0,1057.0,3.0,0.0,0.0,2.0,1953.0,1.0,1.0,246.0,52.0,1.0,1.0,0.0,0.0,0.0,109000
40,65.0,6040.0,4.0,5.0,1955.0,1955.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,0.0,1152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,82000
41,84.0,8658.0,6.0,5.0,1965.0,1965.0,2.0,3.0,3.0,1.0,3.0,643.0,1088.0,1.0,1324.0,0.0,1324.0,2.0,1.0,3.0,5.0,1965.0,2.0,2.0,440.0,138.0,12.0,1.0,0.0,0.0,0.0,160000
42,115.0,16905.0,5.0,6.0,1959.0,1959.0,2.0,3.0,3.0,4.0,4.0,967.0,1350.0,1.0,1328.0,0.0,1328.0,2.0,2.0,4.0,5.0,1959.0,2.0,1.0,308.0,104.0,7.0,1.0,0.0,0.0,0.0,170000
43,0.0,9180.0,5.0,7.0,1983.0,1983.0,2.0,4.0,3.0,3.0,5.0,747.0,840.0,1.0,884.0,0.0,884.0,3.0,0.0,0.0,5.0,1983.0,2.0,2.0,504.0,0.0,12.0,1.0,0.0,0.0,0.0,144000
44,0.0,9200.0,5.0,6.0,1975.0,1980.0,2.0,4.0,3.0,3.0,2.0,280.0,938.0,1.0,938.0,0.0,938.0,2.0,0.0,0.0,2.0,1977.0,1.0,1.0,308.0,0.0,7.0,1.0,0.0,0.0,0.0,130250
45,70.0,7945.0,5.0,6.0,1959.0,1959.0,2.0,3.0,3.0,1.0,5.0,179.0,1150.0,1.0,1150.0,0.0,1150.0,2.0,0.0,0.0,5.0,1959.0,2.0,1.0,300.0,0.0,5.0,1.0,0.0,0.0,0.0,141000
46,61.0,7658.0,9.0,5.0,2005.0,2005.0,4.0,5.0,3.0,1.0,6.0,456.0,1752.0,1.0,1752.0,0.0,1752.0,4.0,1.0,4.0,5.0,2005.0,2.0,2.0,576.0,82.0,2.0,1.0,0.0,0.0,0.0,319900
47,48.0,12822.0,7.0,5.0,2003.0,2003.0,3.0,5.0,3.0,1.0,6.0,1351.0,1434.0,1.0,1518.0,631.0,2149.0,3.0,1.0,5.0,5.0,2003.0,2.0,2.0,670.0,43.0,8.0,1.0,0.0,0.0,0.0,239686
48,84.0,11096.0,8.0,5.0,2006.0,2006.0,3.0,4.0,3.0,3.0,6.0,24.0,1656.0,1.0,1656.0,0.0,1656.0,3.0,0.0,0.0,5.0,2006.0,2.0,3.0,826.0,146.0,7.0,0.0,0.0,0.0,0.0,249700
49,33.0,4456.0,4.0,5.0,1920.0,2008.0,2.0,3.0,3.0,1.0,1.0,0.0,736.0,1.0,736.0,716.0,1452.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,113000
50,66.0,7742.0,5.0,7.0,1966.0,1966.0,2.0,3.0,3.0,1.0,4.0,763.0,955.0,1.0,955.0,0.0,955.0,2.0,0.0,0.0,5.0,1966.0,1.0,1.0,386.0,0.0,1.0,1.0,0.0,0.0,0.0,127000
51,0.0,13869.0,6.0,6.0,1997.0,1997.0,2.0,4.0,3.0,3.0,6.0,182.0,794.0,1.0,794.0,676.0,1470.0,2.0,0.0,0.0,5.0,1997.0,3.0,2.0,388.0,75.0,7.0,1.0,0.0,0.0,0.0,177000
52,52.0,6240.0,6.0,6.0,1934.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,816.0,1.0,816.0,0.0,1176.0,2.0,1.0,4.0,2.0,1985.0,1.0,2.0,528.0,0.0,9.0,0.0,0.0,0.0,0.0,114500
53,110.0,8472.0,5.0,5.0,1963.0,1963.0,1.0,4.0,3.0,4.0,2.0,104.0,816.0,0.0,816.0,0.0,816.0,2.0,0.0,0.0,1.0,1963.0,1.0,2.0,516.0,0.0,5.0,0.0,0.0,0.0,0.0,110000
54,68.0,50271.0,9.0,5.0,1981.0,1987.0,3.0,5.0,3.0,4.0,6.0,1810.0,1842.0,1.0,1842.0,0.0,1842.0,3.0,1.0,4.0,5.0,1981.0,3.0,3.0,894.0,72.0,11.0,1.0,0.0,0.0,0.0,385000
55,60.0,7134.0,5.0,5.0,1955.0,1955.0,2.0,3.0,3.0,1.0,5.0,384.0,384.0,1.0,1360.0,0.0,1360.0,2.0,1.0,3.0,2.0,1962.0,1.0,2.0,572.0,50.0,2.0,1.0,0.0,0.0,0.0,130000
56,100.0,10175.0,6.0,5.0,1964.0,1964.0,2.0,3.0,3.0,1.0,4.0,490.0,1425.0,1.0,1425.0,0.0,1425.0,2.0,1.0,4.0,5.0,1964.0,2.0,2.0,576.0,0.0,7.0,1.0,0.0,0.0,0.0,180500
57,24.0,2645.0,8.0,5.0,1999.0,2000.0,3.0,4.0,3.0,1.0,6.0,649.0,970.0,1.0,983.0,756.0,1739.0,3.0,0.0,0.0,5.0,1999.0,3.0,2.0,480.0,0.0,8.0,0.0,0.0,0.0,0.0,172500
58,89.0,11645.0,7.0,5.0,2004.0,2004.0,3.0,4.0,3.0,1.0,1.0,0.0,860.0,1.0,860.0,860.0,1720.0,3.0,0.0,0.0,5.0,2004.0,2.0,2.0,565.0,70.0,8.0,1.0,0.0,0.0,0.0,196500
59,66.0,13682.0,10.0,5.0,2006.0,2006.0,4.0,5.0,3.0,4.0,1.0,0.0,1410.0,1.0,1426.0,1519.0,2945.0,3.0,1.0,4.0,6.0,2006.0,3.0,3.0,641.0,0.0,10.0,1.0,0.0,0.0,0.0,438780
60,60.0,7200.0,5.0,7.0,1972.0,1972.0,2.0,3.0,3.0,3.0,5.0,632.0,780.0,1.0,780.0,0.0,780.0,2.0,0.0,0.0,2.0,1973.0,1.0,1.0,352.0,0.0,1.0,1.0,0.0,0.0,0.0,124900
61,63.0,13072.0,6.0,5.0,2004.0,2004.0,2.0,4.0,3.0,1.0,5.0,941.0,1158.0,1.0,1158.0,0.0,1158.0,3.0,0.0,0.0,2.0,2006.0,1.0,2.0,576.0,50.0,5.0,1.0,0.0,0.0,0.0,158000
62,60.0,7200.0,5.0,7.0,1920.0,1996.0,2.0,3.0,2.0,1.0,1.0,0.0,530.0,0.0,581.0,530.0,1111.0,1.0,0.0,0.0,2.0,1935.0,1.0,1.0,288.0,0.0,3.0,0.0,0.0,0.0,0.0,101000
63,44.0,6442.0,8.0,5.0,2006.0,2006.0,3.0,4.0,4.0,2.0,6.0,24.0,1370.0,1.0,1370.0,0.0,1370.0,3.0,1.0,4.0,5.0,2006.0,2.0,2.0,484.0,49.0,10.0,1.0,0.0,0.0,0.0,202500
64,50.0,10300.0,7.0,6.0,1921.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,576.0,1.0,902.0,808.0,1710.0,2.0,0.0,0.0,2.0,1990.0,1.0,2.0,480.0,11.0,4.0,0.0,0.0,0.0,0.0,140000
65,0.0,9375.0,7.0,5.0,1997.0,1998.0,2.0,4.0,3.0,1.0,6.0,739.0,1057.0,1.0,1057.0,977.0,2034.0,3.0,0.0,0.0,5.0,1998.0,2.0,2.0,645.0,36.0,2.0,1.0,0.0,0.0,0.0,219500
66,76.0,9591.0,8.0,5.0,2004.0,2005.0,3.0,5.0,3.0,3.0,1.0,0.0,1143.0,1.0,1143.0,1330.0,2473.0,3.0,1.0,4.0,6.0,2004.0,2.0,3.0,852.0,151.0,10.0,1.0,0.0,0.0,0.0,317000
67,0.0,19900.0,7.0,5.0,1970.0,1989.0,2.0,4.0,3.0,4.0,6.0,912.0,1947.0,1.0,2207.0,0.0,2207.0,2.0,1.0,4.0,5.0,1970.0,2.0,2.0,576.0,0.0,7.0,1.0,0.0,0.0,0.0,180000
68,72.0,10665.0,7.0,5.0,2003.0,2003.0,3.0,4.0,3.0,3.0,6.0,1013.0,1453.0,1.0,1479.0,0.0,1479.0,3.0,0.0,0.0,5.0,2003.0,2.0,2.0,558.0,29.0,6.0,1.0,0.0,0.0,0.0,226000
69,47.0,4608.0,4.0,6.0,1945.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,747.0,1.0,747.0,0.0,747.0,2.0,0.0,0.0,5.0,1945.0,1.0,1.0,220.0,0.0,6.0,0.0,0.0,0.0,0.0,80000
70,81.0,15593.0,7.0,4.0,1953.0,1953.0,3.0,3.0,3.0,1.0,4.0,603.0,1304.0,1.0,1304.0,983.0,2287.0,2.0,1.0,3.0,5.0,1953.0,3.0,2.0,667.0,21.0,7.0,1.0,0.0,0.0,0.0,225000
71,95.0,13651.0,7.0,6.0,1973.0,1973.0,2.0,4.0,3.0,4.0,5.0,1880.0,2223.0,1.0,2223.0,0.0,2223.0,2.0,2.0,4.0,5.0,1973.0,3.0,2.0,516.0,0.0,2.0,1.0,0.0,0.0,0.0,244000
72,69.0,7599.0,4.0,6.0,1982.0,2006.0,2.0,3.0,3.0,1.0,5.0,565.0,845.0,1.0,845.0,0.0,845.0,2.0,0.0,0.0,2.0,1987.0,1.0,2.0,360.0,0.0,6.0,1.0,0.0,0.0,0.0,129500
73,74.0,10141.0,7.0,5.0,1998.0,1998.0,2.0,4.0,3.0,1.0,1.0,0.0,832.0,1.0,885.0,833.0,1718.0,2.0,1.0,3.0,5.0,1998.0,3.0,2.0,427.0,94.0,12.0,1.0,0.0,0.0,0.0,185000
74,85.0,10200.0,5.0,7.0,1954.0,2003.0,2.0,3.0,3.0,1.0,5.0,320.0,1086.0,1.0,1086.0,0.0,1086.0,2.0,0.0,0.0,5.0,1989.0,1.0,2.0,490.0,0.0,5.0,1.0,0.0,0.0,0.0,144900
75,60.0,5790.0,3.0,6.0,1915.0,1950.0,3.0,2.0,3.0,1.0,1.0,0.0,840.0,0.0,840.0,765.0,1605.0,2.0,0.0,0.0,2.0,1915.0,1.0,1.0,379.0,0.0,5.0,0.0,0.0,0.0,0.0,107400
76,21.0,1596.0,4.0,5.0,1973.0,1973.0,2.0,4.0,3.0,4.0,6.0,462.0,462.0,1.0,526.0,462.0,988.0,2.0,0.0,0.0,6.0,1973.0,1.0,1.0,297.0,101.0,11.0,0.0,0.0,0.0,0.0,91000
77,0.0,8475.0,4.0,7.0,1956.0,1956.0,2.0,3.0,3.0,1.0,5.0,228.0,952.0,1.0,952.0,0.0,952.0,2.0,0.0,0.0,2.0,1956.0,1.0,1.0,283.0,0.0,4.0,1.0,0.0,0.0,0.0,135750
78,50.0,8635.0,5.0,5.0,1948.0,2001.0,2.0,3.0,3.0,1.0,4.0,336.0,672.0,1.0,1072.0,213.0,1285.0,2.0,0.0,0.0,2.0,1948.0,1.0,1.0,240.0,0.0,1.0,0.0,0.0,0.0,0.0,127000
79,72.0,10778.0,4.0,5.0,1968.0,1968.0,2.0,3.0,3.0,1.0,1.0,0.0,1768.0,0.0,1768.0,0.0,1768.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,136500
80,60.0,10440.0,5.0,6.0,1910.0,1981.0,2.0,3.0,3.0,1.0,1.0,0.0,440.0,1.0,682.0,548.0,1230.0,2.0,0.0,0.0,2.0,1966.0,1.0,2.0,440.0,0.0,5.0,0.0,0.0,0.0,0.0,110000
81,100.0,13000.0,6.0,6.0,1968.0,1968.0,2.0,4.0,3.0,1.0,3.0,448.0,896.0,1.0,1182.0,960.0,2142.0,3.0,1.0,4.0,5.0,1968.0,3.0,1.0,509.0,72.0,6.0,1.0,0.0,0.0,0.0,193500
82,32.0,4500.0,6.0,5.0,1998.0,1998.0,2.0,5.0,4.0,1.0,6.0,1201.0,1237.0,1.0,1337.0,0.0,1337.0,2.0,0.0,0.0,5.0,1998.0,3.0,2.0,405.0,199.0,3.0,0.0,0.0,0.0,0.0,153500
83,78.0,10206.0,8.0,5.0,2007.0,2007.0,2.0,4.0,3.0,1.0,6.0,33.0,1563.0,1.0,1563.0,0.0,1563.0,3.0,1.0,4.0,5.0,2007.0,2.0,3.0,758.0,99.0,10.0,1.0,0.0,0.0,0.0,245000
84,80.0,8892.0,5.0,5.0,1960.0,1960.0,2.0,3.0,3.0,1.0,1.0,0.0,1065.0,1.0,1065.0,0.0,1065.0,2.0,0.0,0.0,2.0,1974.0,1.0,2.0,461.0,0.0,7.0,1.0,0.0,0.0,0.0,126500
85,0.0,8530.0,7.0,5.0,1995.0,1996.0,2.0,4.0,3.0,1.0,1.0,0.0,384.0,1.0,804.0,670.0,1474.0,2.0,1.0,3.0,6.0,1995.0,3.0,2.0,400.0,72.0,5.0,1.0,0.0,0.0,0.0,168500
86,121.0,16059.0,8.0,5.0,1991.0,1992.0,3.0,4.0,3.0,1.0,1.0,0.0,1288.0,1.0,1301.0,1116.0,2417.0,3.0,1.0,3.0,5.0,1991.0,1.0,2.0,462.0,82.0,4.0,1.0,0.0,0.0,0.0,260000
87,122.0,11911.0,6.0,5.0,2005.0,2005.0,3.0,4.0,3.0,3.0,1.0,0.0,684.0,1.0,684.0,876.0,1560.0,3.0,1.0,4.0,6.0,2005.0,3.0,2.0,400.0,38.0,3.0,1.0,0.0,0.0,0.0,174000
88,40.0,3951.0,6.0,5.0,2009.0,2009.0,3.0,4.0,3.0,3.0,1.0,0.0,612.0,1.0,612.0,612.0,1224.0,3.0,0.0,0.0,2.0,2009.0,2.0,2.0,528.0,234.0,6.0,0.0,0.0,0.0,0.0,164500
89,105.0,8470.0,3.0,2.0,1915.0,1982.0,1.0,3.0,2.0,1.0,1.0,0.0,1013.0,0.0,1013.0,0.0,1526.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,85000
90,60.0,8070.0,4.0,5.0,1994.0,1995.0,2.0,4.0,3.0,1.0,6.0,588.0,990.0,1.0,990.0,0.0,990.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,123600
91,60.0,7200.0,4.0,5.0,1950.0,1950.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1040.0,0.0,1040.0,2.0,0.0,0.0,2.0,1950.0,1.0,2.0,420.0,29.0,7.0,1.0,0.0,0.0,0.0,109900
92,85.0,8500.0,5.0,3.0,1961.0,1961.0,2.0,3.0,3.0,1.0,3.0,600.0,1235.0,1.0,1235.0,0.0,1235.0,2.0,0.0,0.0,5.0,1961.0,1.0,2.0,480.0,0.0,12.0,1.0,0.0,0.0,0.0,98600
93,80.0,13360.0,5.0,7.0,1921.0,2006.0,2.0,4.0,3.0,1.0,5.0,713.0,876.0,1.0,964.0,0.0,964.0,2.0,0.0,0.0,2.0,1921.0,1.0,2.0,432.0,0.0,8.0,1.0,1.0,0.0,0.0,163500
94,60.0,7200.0,6.0,6.0,1910.0,1998.0,2.0,3.0,2.0,2.0,3.0,1046.0,1214.0,0.0,1260.0,1031.0,2291.0,2.0,1.0,4.0,2.0,1900.0,1.0,2.0,506.0,0.0,11.0,0.0,0.0,0.0,0.0,133900
95,69.0,9337.0,6.0,5.0,1997.0,1997.0,2.0,4.0,3.0,1.0,6.0,648.0,824.0,1.0,905.0,881.0,1786.0,3.0,0.0,0.0,5.0,1997.0,2.0,2.0,684.0,162.0,5.0,1.0,0.0,0.0,0.0,204750
96,0.0,9765.0,6.0,8.0,1993.0,1993.0,4.0,4.0,4.0,1.0,5.0,310.0,680.0,1.0,680.0,790.0,1470.0,2.0,1.0,3.0,6.0,1993.0,3.0,2.0,420.0,63.0,4.0,1.0,0.0,0.0,0.0,185000
97,78.0,10264.0,7.0,5.0,1999.0,1999.0,3.0,4.0,3.0,3.0,5.0,1162.0,1588.0,1.0,1588.0,0.0,1588.0,3.0,0.0,0.0,5.0,1999.0,2.0,2.0,472.0,29.0,8.0,1.0,0.0,0.0,0.0,214000
98,73.0,10921.0,4.0,5.0,1965.0,1965.0,2.0,3.0,3.0,1.0,3.0,520.0,960.0,1.0,960.0,0.0,960.0,2.0,0.0,0.0,5.0,1965.0,3.0,1.0,432.0,0.0,5.0,1.0,0.0,0.0,0.0,94750
99,85.0,10625.0,5.0,5.0,1920.0,1950.0,2.0,3.0,3.0,1.0,5.0,108.0,458.0,0.0,835.0,0.0,835.0,2.0,0.0,0.0,3.0,1920.0,1.0,1.0,366.0,0.0,5.0,1.0,0.0,0.0,0.0,83000
